journal,ISSN,eISSN,categories
Journal of Management Analytics,2327-0012,2327-0039,"[BUSINESS, MANAGEMENT]"
Knowledge and Process Management,1092-4604,1099-1441,[MANAGEMENT]
Property Management,0263-7472,1758-731X,[MANAGEMENT]
Journal of Organization Design,N/A,2245-408X,"[BUSINESS, MANAGEMENT]"
Digital Business,N/A,2666-9544,"[BUSINESS, MANAGEMENT]"
Management-Journal of Contemporary Management Issues,1331-0194,1846-3363,[MANAGEMENT]
International Journal of Human Capital and Information Technology Professionals,1947-3478,1947-3486,[MANAGEMENT]
RISUS-Journal on Innovation and Sustainability,2179-3565,2179-3565,[MANAGEMENT]
Rossiiskii Zhurnal Menedzhmenta-Russian Management Journal,1729-7427,2618-6977,[MANAGEMENT]
JOURNAL OF MARKETING,0022-2429,1547-7185,[BUSINESS]
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,0095-0696,1096-0449,"[BUSINESS, ECONOMICS, ENVIRONMENTAL STUDIES]"
JOURNAL OF CONSUMER PSYCHOLOGY,1057-7408,1532-7663,[BUSINESS]
JOURNAL OF SERVICE RESEARCH,1094-6705,1552-7379,[BUSINESS]
International Journal of Bank Marketing,0265-2323,1758-5937,[BUSINESS]
JOURNAL OF CONSUMER MARKETING,0736-3761,2052-1200,[BUSINESS]
Journal of Macromarketing,0276-1467,1552-6534,[BUSINESS]
Business Strategy and Development,N/A,2572-3170,"[BUSINESS, ENVIRONMENTAL STUDIES]"
Business Ethics the Environment & Responsibility,2694-6416,2694-6424,[BUSINESS]
Revista Brasileira de Marketing,2177-5184,2177-5184,[BUSINESS]
EuroMed Journal of Business,1450-2194,1758-888X,[BUSINESS]
BUSINESS AND SOCIETY REVIEW,0045-3609,1467-8594,[BUSINESS]
Journal of Entrepreneurship Management and Innovation,2299-7075,2299-7326,[BUSINESS]
Foundations and Trends in Entrepreneurship,1551-3114,1551-3122,[BUSINESS]
Revista de Historia Industrial,1132-7200,2385-3247,"[BUSINESS, ECONOMICS]"
Journal of Inter-Organizational Relationships,2694-3980,2694-3999,[BUSINESS]
Journal of Transport Geography,0966-6923,1873-1236,"[ECONOMICS, GEOGRAPHY, TRANSPORTATION]"
Environment and Planning A-Economy and Space,0308-518X,1472-3409,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
ECONOMIC GEOGRAPHY,0013-0095,1944-8287,"[ECONOMICS, GEOGRAPHY]"
Annals of the American Association of Geographers,2469-4452,2469-4460,[GEOGRAPHY]
SOCIAL & CULTURAL GEOGRAPHY,1464-9365,1470-1197,[GEOGRAPHY]
EURASIAN GEOGRAPHY AND ECONOMICS,1538-7216,1938-2863,"[AREA STUDIES, GEOGRAPHY]"
SCOTTISH GEOGRAPHICAL JOURNAL,1470-2541,1751-665X,[GEOGRAPHY]
South African Geographical Journal,0373-6245,2151-2418,[GEOGRAPHY]
Asian Geographer,1022-5706,2158-1762,[GEOGRAPHY]
Shima-The International Journal of Research into Island Cultures,1834-6049,1834-6057,[GEOGRAPHY]
Estudios Fronterizos,0187-6961,2395-9134,[GEOGRAPHY]
GeoScape,1802-1115,1802-1115,[GEOGRAPHY]
Espace Politique,1958-5500,1958-5500,[GEOGRAPHY]
Estudios Socioterritoriales,1515-6206,1853-4392,[GEOGRAPHY]
Journal of Immigrant & Refugee Studies,1556-2948,1556-2956,"[DEMOGRAPHY, ETHNIC STUDIES]"
Frontiers in Human Dynamics,N/A,2673-2726,[DEMOGRAPHY]
Poblacion y Salud en Mesoamerica,1659-0201,1659-0201,[DEMOGRAPHY]
Alternative-An International Journal of Indigenous Peoples,1177-1801,1174-1740,[ETHNIC STUDIES]
Journal of Chinese Overseas,1793-0391,1793-2548,[ETHNIC STUDIES]
JOURNAL OF PUBLIC ECONOMICS,0047-2727,0047-2727,[ECONOMICS]
APPLIED ECONOMICS,0003-6846,1466-4283,[ECONOMICS]
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1467-8276,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
Tourism Economics,1354-8166,2044-0375,[ECONOMICS]
ENERGY JOURNAL,0195-6574,1944-9089,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
JOURNAL OF ECONOMIC GROWTH,1381-4338,1573-7020,[ECONOMICS]
JOURNAL OF MACROECONOMICS,0164-0704,1873-152X,[ECONOMICS]
EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,1090-2457,[ECONOMICS]
Journal of Economic Policy Reform,1748-7870,1748-7889,"[DEVELOPMENT STUDIES, ECONOMICS]"
Cepal Review,0251-2920,1684-0348,[ECONOMICS]
American Journal of Health Economics,2332-3493,2332-3507,"[ECONOMICS, HEALTH POLICY & SERVICES]"
Journal of Economic Interaction and Coordination,1860-711X,1860-7128,[ECONOMICS]
Portuguese Economic Journal,1617-982X,1617-9838,[ECONOMICS]
EKONOMICKY CASOPIS,0013-3035,0013-3035,[ECONOMICS]
Organizations and Markets in Emerging Economies,2029-4581,2345-0037,[ECONOMICS]
Malaysian Journal of Economic Studies,1511-4554,1511-4554,[ECONOMICS]
Journal of Economics Race and Policy,2520-8411,2520-842X,[ECONOMICS]
Ekonomia i Prawo-Economics and Law,1898-2255,2392-1625,[ECONOMICS]
Seoul Journal of Economics,1225-0279,1225-0279,[ECONOMICS]
Economists Voice,2194-6167,1553-3832,[ECONOMICS]
Revista Economia,0254-4415,2304-4306,[ECONOMICS]
Japanese Political Economy,2329-194X,2329-1958,[ECONOMICS]
History of Economics Review,1037-0196,1838-6318,[ECONOMICS]
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,[TRANSPORTATION]
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,0272-4944,1522-9610,[ENVIRONMENTAL STUDIES]
Anthropocene Review,2053-0196,2053-020X,[ENVIRONMENTAL STUDIES]
PLOS Climate,N/A,2767-3200,[ENVIRONMENTAL STUDIES]
Cleaner and Responsible Consumption,2666-7843,2666-7843,[ENVIRONMENTAL STUDIES]
INTERNATIONAL JOURNAL OF GLOBAL ENERGY ISSUES,0954-7118,1741-5128,[ENVIRONMENTAL STUDIES]
ASIAN SURVEY,0004-4687,1533-838X,[AREA STUDIES]
JOURNAL OF MODERN AFRICAN STUDIES,0022-278X,1469-7777,[AREA STUDIES]
MODERN CHINA,0097-7004,1552-6836,[AREA STUDIES]
Comparative Studies of South Asia Africa and the Middle East,1089-201X,1548-226X,[AREA STUDIES]
MIDDLE EAST POLICY,1061-1924,1475-4967,[AREA STUDIES]
Asia-Pacific Journal-Japan Focus,1557-4660,1557-4660,[AREA STUDIES]
Millennial Asia,0976-3996,2321-7081,[AREA STUDIES]
Baltic Region,2079-8555,2310-0524,[AREA STUDIES]
Eastern Journal of European Studies,2068-651X,2068-6633,[AREA STUDIES]
Region,2166-4307,2165-0659,[AREA STUDIES]
Contemporary Europe-Sovremennaya Evropa,0201-7083,0201-7083,[AREA STUDIES]
Contemporary Review of the Middle East,2347-7989,2349-0055,[AREA STUDIES]
Caucasus Survey,2376-1199,2376-1202,[AREA STUDIES]
Seoul Journal of Korean Studies,1225-0201,2331-4826,[AREA STUDIES]
Oxford Development Studies,1360-0818,1469-9966,[DEVELOPMENT STUDIES]
Journal of Human Development and Capabilities,1945-2829,1945-2837,[DEVELOPMENT STUDIES]
Area Development and Policy,2379-2949,2379-2957,[DEVELOPMENT STUDIES]
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,[ECOLOGY]
JOURNAL OF ECOLOGY,0022-0477,1365-2745,[ECOLOGY]
ECOLOGICAL APPLICATIONS,1051-0761,1939-5582,[ECOLOGY]
Molecular Ecology Resources,1755-098X,1755-0998,[ECOLOGY]
Ecosphere,2150-8925,2150-8925,[ECOLOGY]
ANIMAL CONSERVATION,1367-9430,1469-1795,[ECOLOGY]
Journal of Plant Ecology,1752-9921,1752-993X,"[ECOLOGY, FORESTRY]"
WESTERN NORTH AMERICAN NATURALIST,1527-0904,1944-8341,[ECOLOGY]
South of Russia-Ecology Development,1992-1098,2413-0958,[ECOLOGY]
Planning Theory & Practice,1464-9357,1470-000X,[URBAN STUDIES]
JOURNAL OF CONTEMPORARY ETHNOGRAPHY,0891-2416,1552-5414,[URBAN STUDIES]
Revista INVI,0718-1299,0718-8358,[URBAN STUDIES]
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,0275-0740,1552-3357,[PUBLIC ADMINISTRATION]
Journal of Public Affairs,1472-3891,1479-1854,[PUBLIC ADMINISTRATION]
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,0008-4840,1754-7121,[PUBLIC ADMINISTRATION]
Public Budgeting and Finance,0275-1100,1540-5850,[PUBLIC ADMINISTRATION]
Journal of Judicial Administration,1036-7918,1036-7918,[PUBLIC ADMINISTRATION]
JOURNAL OF TROPICAL FOREST SCIENCE,0128-1283,2521-9847,[FORESTRY]
Sylwan,0039-7660,N/A,[FORESTRY]
Journal of Forest Science,1212-4834,1805-935X,[FORESTRY]
Central European Forestry Journal,2454-034X,2454-0358,[FORESTRY]
Advances in Bamboo Science,N/A,2773-1391,[FORESTRY]
Lesnoy Zhurnal-Forestry Journal,0536-1036,0536-1036,[FORESTRY]
EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
RELIABILITY ENGINEERING & SYSTEM SAFETY,0951-8320,1879-0836,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Discrete Optimization,1572-5286,1873-636X,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
EURO Journal on Computational Optimization,2192-4406,2192-4414,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
International Journal of Knowledge and Systems Science,1947-8208,1947-8216,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
SCIENCE COMMUNICATION,1075-5470,1552-8545,[COMMUNICATION]
International Journal of Press-Politics,1940-1612,1940-1620,[COMMUNICATION]
JCOM-Journal of Science Communication,1824-2049,1824-2049,[COMMUNICATION]
Cyberpsychology-Journal of Psychosocial Research on Cyberspace,1802-7962,1802-7962,[COMMUNICATION]
IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,0361-1434,1558-1500,[COMMUNICATION]
JAVNOST-THE PUBLIC,1318-3222,1854-8377,[COMMUNICATION]
Revista Icono 14-Revista Cientifica de Comunicacion y Tecnologias,1697-8293,1697-8293,[COMMUNICATION]
Comunicacion y Sociedad-Guadalajara,0188-252X,2448-9042,[COMMUNICATION]
IC-Revista Cientifica de Informacion y Comunicacion,1696-2508,2173-1071,[COMMUNICATION]
Dixit,1688-3497,0797-3691,[COMMUNICATION]
Scientific Papers-Series Management Economic Engineering in Agriculture and Rural Development,2284-7995,2285-3952,[AGRICULTURAL ECONOMICS & POLICY]
Economia Agro-alimentare,1126-1668,1972-4802,[AGRICULTURAL ECONOMICS & POLICY]
MONTHLY LABOR REVIEW,0098-1818,1937-4658,[INDUSTRIAL RELATIONS & LABOR]
INDUSTRIAL RELATIONS JOURNAL,0019-8692,1468-2338,[INDUSTRIAL RELATIONS & LABOR]
PSYCHIATRIC SERVICES,1075-2730,1557-9700,[HEALTH POLICY & SERVICES]
Health Systems & Reform,2328-8604,2328-8620,[HEALTH POLICY & SERVICES]
Health Services Management Research,0951-4848,1758-1044,[HEALTH POLICY & SERVICES]
ACADEMIC MEDICINE,1040-2446,1938-808X,[HEALTH CARE SCIENCES & SERVICES]
HEALTH AFFAIRS,0278-2715,0278-2715,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JMIR Research Protocols,1929-0748,1929-0748,[HEALTH CARE SCIENCES & SERVICES]
Implementation Science Communications,N/A,2662-2211,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,0894-1912,1554-558X,[HEALTH CARE SCIENCES & SERVICES]
Current Opinion in Supportive and Palliative Care,1751-4258,1751-4266,[HEALTH CARE SCIENCES & SERVICES]
JBI Evidence Implementation,2691-3321,2691-3321,[HEALTH CARE SCIENCES & SERVICES]
Biomedical Human Kinetics,0043-9630,2080-2234,[HEALTH CARE SCIENCES & SERVICES]
Health Care Science,2771-1749,2771-1757,[HEALTH CARE SCIENCES & SERVICES]
Journal of Hospital Management and Health Policy,2523-2533,2523-2533,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF ACCOUNTING & ECONOMICS,0165-4101,1879-1980,"['BUSINESS, FINANCE', ECONOMICS]"
Emerging Markets Review,1566-0141,1873-6173,"['BUSINESS, FINANCE', ECONOMICS]"
WORLD BANK ECONOMIC REVIEW,0258-6770,1564-698X,"['BUSINESS, FINANCE', DEVELOPMENT STUDIES, ECONOMICS]"
Review of Financial Economics,1058-3300,1873-5924,"['BUSINESS, FINANCE']"
International Journal of Managerial and Financial Accounting,1753-6715,1753-6723,"['BUSINESS, FINANCE']"
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,0015-1920,0015-1920,"['BUSINESS, FINANCE']"
Maliye Dergisi,1300-3623,1300-3623,"['BUSINESS, FINANCE']"
Journal of Risk Model Validation,1753-9579,1753-9587,"['BUSINESS, FINANCE']"
Journal of Accounting Review,1018-1687,1018-1687,"['BUSINESS, FINANCE']"
ATA Journal of Legal Tax Research,1543-866X,1543-866X,"['BUSINESS, FINANCE']"
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,0263-7863,1873-4634,[MANAGEMENT]
INTERNATIONAL JOURNAL OF FORECASTING,0169-2070,1872-8200,"[ECONOMICS, MANAGEMENT]"
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,0160-5682,1476-9360,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,1355-2554,1758-6534,"[BUSINESS, MANAGEMENT]"
Journal of Product and Brand Management,1061-0421,2054-1643,"[BUSINESS, MANAGEMENT]"
Journal of Hospitality Marketing & Management,1936-8623,1936-8631,"[BUSINESS, MANAGEMENT]"
Electronic Markets,1019-6781,1422-8890,"[BUSINESS, MANAGEMENT]"
Strategic Entrepreneurship Journal,1932-4391,1932-443X,"[BUSINESS, MANAGEMENT]"
Academy of Management Learning & Education,1537-260X,N/A,[MANAGEMENT]
Management Research Review,2040-8269,2040-8277,[MANAGEMENT]
Sport Management Review,1441-3523,1839-2083,[MANAGEMENT]
Journal of Management & Organization,1833-3672,1839-3527,[MANAGEMENT]
JOURNAL OF MANAGEMENT DEVELOPMENT,0262-1711,1758-7492,[MANAGEMENT]
Global Strategy Journal,2042-5791,2042-5805,"[BUSINESS, MANAGEMENT]"
European Management Review,1740-4754,1740-4762,[MANAGEMENT]
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,0923-4748,1879-1719,"[BUSINESS, MANAGEMENT]"
Learning Organization,0969-6474,1758-7905,[MANAGEMENT]
Leadership,1742-7150,1742-7169,[MANAGEMENT]
VINE Journal of Information and Knowledge Management Systems,2059-5891,2059-5905,[MANAGEMENT]
European Research on Management and Business Economics,2444-8834,2444-8842,"[BUSINESS, ECONOMICS, MANAGEMENT]"
BRQ-Business Research Quarterly,2340-9444,2340-9444,"[BUSINESS, MANAGEMENT]"
Journal of Organizational Effectiveness-People and Performance,2051-6614,2051-6622,[MANAGEMENT]
Amfiteatru Economic,1582-9146,2247-9104,"[BUSINESS, ECONOMICS, MANAGEMENT]"
INDUSTRIAL AND COMMERCIAL TRAINING,0019-7858,1758-5767,[MANAGEMENT]
Journal of Leadership Studies,1935-2611,1935-262X,[MANAGEMENT]
Evidence-based HRM-A Global Forum for Empirical Scholarship,2049-3983,2049-3991,[MANAGEMENT]
Quality Management Journal,1068-6967,2575-6222,[MANAGEMENT]
Triple Helix,2590-0366,2197-1927,[MANAGEMENT]
Journal of Transport and Supply Chain Management,2310-8789,1995-5235,[MANAGEMENT]
International Journal of Knowledge Management Studies,1743-8268,1743-8276,[MANAGEMENT]
Scientific Papers of the University of Pardubice-Series D-Faculty of Economics and Administration,1211-555X,1804-8048,"[BUSINESS, ECONOMICS, MANAGEMENT]"
Acta Structilia,1023-0564,2415-0487,[MANAGEMENT]
Gecontec-Revista Internacional de Gestion del Conocimiento y la Tecnologia,2255-5684,2255-5684,[MANAGEMENT]
ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,1540-6520,[BUSINESS]
JOURNAL OF WORLD BUSINESS,1090-9516,1878-5573,[BUSINESS]
PUBLIC RELATIONS REVIEW,0363-8111,1873-4537,"[BUSINESS, COMMUNICATION]"
INTERNATIONAL MARKETING REVIEW,0265-1335,1758-6763,[BUSINESS]
Future Business Journal,2314-7202,2314-7210,[BUSINESS]
International Journal of Gender and Entrepreneurship,1756-6266,1756-6274,[BUSINESS]
Journal of Financial Counseling and Planning,1052-3073,1947-7910,"[BUSINESS, ECONOMICS]"
QME-Quantitative Marketing and Economics,1570-7156,1573-711X,"[BUSINESS, ECONOMICS]"
Central European Business Review,N/A,1805-4862,[BUSINESS]
Revista Ecorfan,2007-1582,2007-3682,[BUSINESS]
Gender Place and Culture,0966-369X,1360-0524,[GEOGRAPHY]
GEOGRAPHICAL REVIEW,0016-7428,1931-0846,[GEOGRAPHY]
Childrens Geographies,1473-3285,1473-3277,[GEOGRAPHY]
Territory Politics Governance,2162-2671,2162-268X,[GEOGRAPHY]
JOURNAL OF GEOGRAPHY,0022-1341,1752-6868,[GEOGRAPHY]
Island Studies Journal,N/A,1715-2593,[GEOGRAPHY]
European Spatial Research and Policy,1231-1952,1896-1525,[GEOGRAPHY]
Folia Geographica,1336-6157,2454-1001,[GEOGRAPHY]
Revista Acta Geografica,1980-5772,2177-4307,[GEOGRAPHY]
POPULATION AND DEVELOPMENT REVIEW,0098-7921,1728-4457,[DEMOGRAPHY]
JOURNAL OF BIOSOCIAL SCIENCE,0021-9320,1469-7599,[DEMOGRAPHY]
EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X,1571-8166,[DEMOGRAPHY]
Papeles de Poblacion,1405-7425,1405-7425,[DEMOGRAPHY]
Population Review,1549-0955,1549-0955,[DEMOGRAPHY]
Nations and Nationalism,1354-5078,1469-8129,[ETHNIC STUDIES]
ECOLOGICAL ECONOMICS,0921-8009,1873-6106,"[ECOLOGY, ECONOMICS, ENVIRONMENTAL STUDIES]"
JOURNAL OF DEVELOPMENT ECONOMICS,0304-3878,1872-6089,[ECONOMICS]
ECONOMICS LETTERS,0165-1765,1873-7374,[ECONOMICS]
REGIONAL SCIENCE AND URBAN ECONOMICS,0166-0462,1879-2308,"[ECONOMICS, ENVIRONMENTAL STUDIES, URBAN STUDIES]"
European Journal of Political Economy,0176-2680,1873-5703,[ECONOMICS]
NEW POLITICAL ECONOMY,1356-3467,1469-9923,[ECONOMICS]
Research in Transportation Economics,0739-8859,1875-7979,"[ECONOMICS, TRANSPORTATION]"
OXFORD ECONOMIC PAPERS-NEW SERIES,0030-7653,1464-3812,[ECONOMICS]
REVIEW OF INCOME AND WEALTH,0034-6586,1475-4991,[ECONOMICS]
JOURNAL OF ECONOMIC EDUCATION,0022-0485,2152-4068,[ECONOMICS]
Journal of Agribusiness in Developing and Emerging Economies,2044-0839,2044-0847,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
NBER Macroeconomics Annual,0889-3365,1537-2642,[ECONOMICS]
POST-COMMUNIST ECONOMIES,1463-1377,1465-3958,[ECONOMICS]
World Trade Review,1474-7456,1475-3138,[ECONOMICS]
Journal of Forest Economics,1104-6899,1618-1530,"[ECONOMICS, FORESTRY]"
SOUTH AFRICAN JOURNAL OF ECONOMICS,0038-2280,1813-6982,[ECONOMICS]
Asian Economic Policy Review,1832-8105,1748-3131,[ECONOMICS]
Journal of Human Capital,1932-8575,1932-8664,[ECONOMICS]
ECONOMIC AFFAIRS,0265-0665,1468-0270,[ECONOMICS]
Contemporary Economics,2084-0845,2300-8814,[ECONOMICS]
Bio-based and Applied Economics,2280-6180,2280-6172,[ECONOMICS]
REVESCO-Revista de Estudios Cooperativos,1885-8031,1135-6618,[ECONOMICS]
Economic Annals-XXI,1728-6220,1728-6239,[ECONOMICS]
Water Economics and Policy,2382-624X,2382-6258,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Hacienda Publica Espanola-Review of Public Economics,0210-1173,2386-4176,[ECONOMICS]
Econ Journal Watch,1933-527X,1933-527X,[ECONOMICS]
International Journal of Contemporary Economics and Administrative Sciences,1925-4423,1925-4423,[ECONOMICS]
Journal of Institutional Studies,2076-6297,2412-6039,[ECONOMICS]
Agrarian South-Journal of Political Economy,2277-9760,2321-0281,"[DEVELOPMENT STUDIES, ECONOMICS]"
Journal of Mehmet Akif Ersoy University Economics and Administrative Sciences Faculty,2149-1658,2149-1658,[ECONOMICS]
Revista Finanzas y Politica Economica,2248-6046,2011-7663,[ECONOMICS]
Regionologiya-Regionology Russian Journal of Regional Studies,2413-1407,2587-8549,"[AREA STUDIES, ECONOMICS]"
Manchester Journal of International Economic Law,1742-3945,1742-3945,[ECONOMICS]
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1369-8478,1873-5517,[TRANSPORTATION]
TRANSPORT REVIEWS,0144-1647,1464-5327,[TRANSPORTATION]
Transportation in Developing Economies,2199-9287,2199-9295,[TRANSPORTATION]
Nature Sustainability,2398-9629,2398-9629,[ENVIRONMENTAL STUDIES]
Marine Policy,0308-597X,1872-9460,[ENVIRONMENTAL STUDIES]
Environmental Impact Assessment Review,0195-9255,1873-6432,[ENVIRONMENTAL STUDIES]
CLIMATE POLICY,1469-3062,1752-7457,"[ENVIRONMENTAL STUDIES, PUBLIC ADMINISTRATION]"
Natural Hazards Review,1527-6988,1527-6996,[ENVIRONMENTAL STUDIES]
Cleaner Environmental Systems,2666-7894,2666-7894,[ENVIRONMENTAL STUDIES]
Current Research in Environmental Sustainability,2666-0490,2666-0490,[ENVIRONMENTAL STUDIES]
Discover Sustainability,N/A,2662-9984,[ENVIRONMENTAL STUDIES]
Review of European Comparative & International Environmental Law,2050-0386,2050-0394,[ENVIRONMENTAL STUDIES]
Journal of Human Rights and the Environment,1759-7188,1759-7196,[ENVIRONMENTAL STUDIES]
Ocean Yearbook,0191-8575,2211-6001,[ENVIRONMENTAL STUDIES]
Observatorio Medioambiental,1139-1987,1988-3277,[ENVIRONMENTAL STUDIES]
Central Asian Survey,0263-4937,1465-3354,[AREA STUDIES]
Turkish Studies,1468-3849,1743-9663,[AREA STUDIES]
Contemporary South Asia,0958-4935,1469-364X,[AREA STUDIES]
Journal of Australian Studies,1444-3058,1835-6419,[AREA STUDIES]
India Review,1473-6489,1557-3036,[AREA STUDIES]
American Review of Canadian Studies,0272-2011,1943-9954,[AREA STUDIES]
International Journal of African Renaissance Studies,1818-6874,1753-7274,[AREA STUDIES]
International Journal of Canadian Studies,1180-3991,1923-5291,[AREA STUDIES]
Papeles de Europa,1989-5917,1989-5917,[AREA STUDIES]
Journal of Developing Societies,0169-796X,1745-2546,[DEVELOPMENT STUDIES]
Ecohydrology,1936-0584,1936-0592,[ECOLOGY]
AoB Plants,2041-2851,2041-2851,[ECOLOGY]
Ecological Processes,N/A,2192-1709,[ECOLOGY]
International Journal for Parasitology-Parasites and Wildlife,2213-2244,2213-2244,[ECOLOGY]
CHEMISTRY AND ECOLOGY,0275-7540,1029-0370,[ECOLOGY]
TROPICAL ECOLOGY,0564-3295,2661-8982,[ECOLOGY]
POPULATION ECOLOGY,1438-3896,1438-390X,[ECOLOGY]
ECOHYDROLOGY & HYDROBIOLOGY,1642-3593,2080-3397,[ECOLOGY]
VIE ET MILIEU-LIFE AND ENVIRONMENT,0240-8759,N/A,[ECOLOGY]
Eco mont-Journal on Protected Mountain Areas Research,2073-106X,2073-1558,[ECOLOGY]
Ciudad y Territorio-Estudios Territoriales-CyTET,1133-4762,N/A,[URBAN STUDIES]
Ciudades-Revista del Instituto Universitario de Urbanistica de la Universidad de Valladolid,1133-6579,2445-3943,[URBAN STUDIES]
Administracao Publica e Gestao Social,2175-5787,2175-5787,[PUBLIC ADMINISTRATION]
HOLZFORSCHUNG,0018-3830,1437-434X,[FORESTRY]
BOSQUE,0717-9200,0717-9200,[FORESTRY]
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,1878-6642,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
JOURNAL OF QUALITY TECHNOLOGY,0022-4065,2575-6230,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
OR SPECTRUM,0171-6468,1436-6304,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
JOURNAL OF SCHEDULING,1094-6136,1099-1425,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Flexible Services and Manufacturing Journal,1936-6582,1936-6590,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Quality Technology and Quantitative Management,1684-3703,1811-4857,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Information Communication & Society,1369-118X,1468-4462,[COMMUNICATION]
